"ShotLocations.PLAYER_NAME","ShotLocations.TEAM_ABBREVIATION","head","Shot_Type","FGAM"
"Aaron Wiggins","OKC","https://cdn.nba.com/headshots/nba/latest/260x190/1630598.png","Above Break 3",9.14494734113988
"Aaron Wiggins","OKC","https://cdn.nba.com/headshots/nba/latest/260x190/1630598.png","Total 3",11.3919439773725
"Aaron Wiggins","OKC","https://cdn.nba.com/headshots/nba/latest/260x190/1630598.png","Total FGAM",13.9082572268008
"Adama Sanogo","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1641766.png","Restricted",1.01310822867339
"Adama Sanogo","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1641766.png","Paint Not-Restricted",0
"Adama Sanogo","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1641766.png","Midrange",0
"Adama Sanogo","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1641766.png","Corner 3",0
"Adama Sanogo","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1641766.png","Above Break 3",0
"Adama Sanogo","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1641766.png","Total 3",0
"Adama Sanogo","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1641766.png","Total FGAM",1.01310822867339
"Admiral Schofield","ORL","https://cdn.nba.com/headshots/nba/latest/260x190/1629678.png","Restricted",0.0130850528434827
"Admiral Schofield","ORL","https://cdn.nba.com/headshots/nba/latest/260x190/1629678.png","Paint Not-Restricted",-0.443108330128989
"Admiral Schofield","ORL","https://cdn.nba.com/headshots/nba/latest/260x190/1629678.png","Midrange",0.162344711132553
"Admiral Schofield","ORL","https://cdn.nba.com/headshots/nba/latest/260x190/1629678.png","Corner 3",0.213835616438356
"Admiral Schofield","ORL","https://cdn.nba.com/headshots/nba/latest/260x190/1629678.png","Above Break 3",-0.884625344287766
"Admiral Schofield","ORL","https://cdn.nba.com/headshots/nba/latest/260x190/1629678.png","Total 3",-0.670789727849409
"Admiral Schofield","ORL","https://cdn.nba.com/headshots/nba/latest/260x190/1629678.png","Total FGAM",-0.938468294002363
"Al Horford","BOS","https://cdn.nba.com/headshots/nba/latest/260x190/201143.png","Restricted",3.92780767029193
"Al Horford","BOS","https://cdn.nba.com/headshots/nba/latest/260x190/201143.png","Paint Not-Restricted",0.707957169850934
"Al Horford","BOS","https://cdn.nba.com/headshots/nba/latest/260x190/201143.png","Midrange",0.812115361409436
"Al Horford","BOS","https://cdn.nba.com/headshots/nba/latest/260x190/201143.png","Corner 3",2.74602409638554
"Al Horford","BOS","https://cdn.nba.com/headshots/nba/latest/260x190/201143.png","Above Break 3",3.5106292617323
"Al Horford","BOS","https://cdn.nba.com/headshots/nba/latest/260x190/201143.png","Total 3",6.25665335811784
"Al Horford","BOS","https://cdn.nba.com/headshots/nba/latest/260x190/201143.png","Total FGAM",11.7045335596701
